,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-12-31,259.600006,260.459991,257.51001,259.619995,259.619995,2606000.0,2606000.0,0.01999,0.008,259.19667,"December 31, 20",8e-05
2020-12-30,262.200012,262.679993,258.359985,259.980011,259.980011,2694100.0,2694100.0,-2.22,-0.847,260.34,"December 30, 20",-0.00847
2020-12-29,263.950012,265.450012,259.670013,261.559998,261.559998,2676600.0,2676600.0,-2.39001,-0.905,262.22667,"December 29, 20",-0.00905
2020-12-28,269.839996,270.100006,261.809998,262.940002,262.940002,3633100.0,3633100.0,-6.89999,-2.557,264.95,"December 28, 20",-0.02557
2020-12-24,271.359985,272.029999,267.190002,268.820007,268.820007,1649400.0,1649400.0,-2.53998,-0.936,269.34667,"December 24, 20",-0.00936
2020-12-23,273.640015,276.640015,270.619995,270.709991,270.709991,2350800.0,2350800.0,-2.93002,-1.071,272.65667,"December 23, 20",-0.01071
2020-12-22,272.5,273.339996,268.279999,273.279999,273.279999,3553600.0,3553600.0,0.78,0.286,271.63333,"December 22, 20",0.00286
2020-12-21,271.660004,273.5,268.51001,271.940002,271.940002,4989500.0,4989500.0,0.28,0.103,271.31667,"December 21, 20",0.00103
2020-12-18,283.5,284.519989,274.959991,275.570007,275.570007,15457100.0,15457100.0,-7.92999,-2.797,278.35,"December 18, 20",-0.02797
2020-12-17,289.410004,293.899994,286.220001,292.26001,292.26001,6006900.0,6006900.0,2.85001,0.985,290.79334,"December 17, 20",0.00985
2020-12-16,287.380005,290.850006,286.609985,288.809998,288.809998,2611800.0,2611800.0,1.42999,0.498,288.75666,"December 16, 20",0.00498
2020-12-15,286.01001,289.459991,283.109985,285.73999,285.73999,3026400.0,3026400.0,-0.27002,-0.094,286.10332,"December 15, 20",-0.00094
2020-12-14,296.0,296.350006,285.410004,285.540009,285.540009,2933900.0,2933900.0,-10.45999,-3.534,289.10001,"December 14, 20",-0.03534
2020-12-11,289.779999,291.880005,286.190002,289.470001,289.470001,2354500.0,2354500.0,-0.31,-0.107,289.18,"December 11, 20",-0.00107
2020-12-10,291.26001,294.380005,288.609985,290.899994,290.25,2961000.0,2961000.0,-0.36002,-0.124,291.29666,"December 10, 20",-0.00124
